epoch,amp_delta_out_loss,amp_delta_out_mae,aoa_xy_out_loss,aoa_xy_out_mae,class_out_acc,class_out_loss,class_out_top2,final_xy_out_loss,final_xy_out_mae,learning_rate,loss,presence_out_acc,presence_out_loss,presence_out_prec,presence_out_rec,val_amp_delta_out_loss,val_amp_delta_out_mae,val_aoa_xy_out_loss,val_aoa_xy_out_mae,val_class_out_acc,val_class_out_loss,val_class_out_top2,val_final_xy_out_loss,val_final_xy_out_mae,val_loss,val_presence_out_acc,val_presence_out_loss,val_presence_out_prec,val_presence_out_rec
0,0.09242206066846848,0.4886661469936371,0.1188814714550972,0.3496367931365967,0.8303964734077454,0.716503918170929,0.8854625821113586,0.12054169178009033,0.35264402627944946,9.999999747378752e-05,1.1976213455200195,0.9295154213905334,0.19811438024044037,1.0,0.9295154213905334,0.04351722449064255,0.4682380259037018,0.3964795470237732,2.93412184715271,0.0,4.905368328094482,0.0,0.39654383063316345,2.9400599002838135,8.505362510681152,0.49514561891555786,2.594301700592041,0.49514561891555786,1.0
1,0.06700610369443893,0.37580785155296326,0.0014856873312965035,0.02923627197742462,1.0,0.1518581062555313,1.0,0.0014637402491644025,0.02879122830927372,9.999999747378752e-05,0.1742277443408966,1.0,0.002735654590651393,1.0,1.0,0.035975124686956406,0.370293527841568,0.39541417360305786,2.9542176723480225,0.0,4.651061058044434,0.0,0.3949446976184845,2.9533534049987793,8.541958808898926,0.49514561891555786,2.891223430633545,0.49514561891555786,1.0
2,0.043133694678545,0.2728884518146515,0.0013320257421582937,0.025603273883461952,1.0,0.14722782373428345,1.0,0.0013155105989426374,0.025000836700201035,9.999999747378752e-05,0.1608973741531372,1.0,0.0016374400584027171,1.0,1.0,0.030272450298070908,0.3281187117099762,0.38359954953193665,2.932736396789551,0.0,4.439416885375977,0.0,0.38361603021621704,2.9324564933776855,8.561822891235352,0.49514561891555786,3.153583288192749,0.49514561891555786,1.0
3,0.030120451003313065,0.21478146314620972,0.0004964233376085758,0.020625310018658638,1.0,0.14020219445228577,1.0,0.0004898784682154655,0.02028621919453144,9.999999747378752e-05,0.1499084085226059,1.0,0.0011171508813276887,1.0,1.0,0.024307681247591972,0.2939269542694092,0.3448159098625183,2.811220407485962,0.0,4.279552936553955,0.0,0.3447874188423157,2.811009645462036,8.476807594299316,0.49514561891555786,3.3262953758239746,0.49514561891555786,1.0
4,0.021534902974963188,0.17282086610794067,0.0007871742127463222,0.023021001368761063,1.0,0.13847163319587708,1.0,0.0007775846170261502,0.022756410762667656,9.999999747378752e-05,0.1456039547920227,1.0,0.0008628311916254461,1.0,1.0,0.019590012729167938,0.2647155523300171,0.30499106645584106,2.6750338077545166,0.0,4.158675193786621,0.0,0.3048873543739319,2.6743581295013428,8.38780689239502,0.49514561891555786,3.458305597305298,0.49514561891555786,1.0
5,0.016932787373661995,0.1510268598794937,0.005636786110699177,0.03202999010682106,0.9977973699569702,0.1515258252620697,1.0,0.0056401202455163,0.03193868696689606,9.999999747378752e-05,0.1589260697364807,1.0,0.0006153630092740059,1.0,1.0,0.01697736606001854,0.2575494647026062,0.33309781551361084,2.616520881652832,0.0,4.485001564025879,0.0,0.3328183591365814,2.6153454780578613,8.956865310668945,0.49514561891555786,3.6316189765930176,0.49514561891555786,1.0
6,0.01377320010215044,0.13351738452911377,0.003299061208963394,0.022436799481511116,1.0,0.14540627598762512,1.0,0.00329821789637208,0.022337380796670914,4.999999873689376e-05,0.14750376343727112,1.0,0.0004993418697267771,1.0,1.0,0.01552294660359621,0.2558286786079407,0.3592866361141205,2.8886449337005615,0.0,4.642261028289795,0.0,0.3591395914554596,2.887887954711914,9.273821830749512,0.49514561891555786,3.7262442111968994,0.49514561891555786,1.0
7,0.011906351894140244,0.12334427237510681,0.000362141989171505,0.019151892513036728,1.0,0.13677634298801422,1.0,0.0003625149838626385,0.019052430987358093,4.999999873689376e-05,0.14109641313552856,1.0,0.00044568258454091847,1.0,1.0,0.015284702181816101,0.25911641120910645,0.3257591426372528,2.7355270385742188,0.0,4.281587600708008,0.0,0.32560455799102783,2.734724521636963,8.859870910644531,0.49514561891555786,3.756596088409424,0.49514561891555786,1.0
8,0.010674907825887203,0.11639466136693954,0.0004750501539092511,0.021848782896995544,1.0,0.13493216037750244,1.0,0.0004729007778223604,0.02179715782403946,4.999999873689376e-05,0.13908037543296814,1.0,0.0004191896878182888,1.0,1.0,0.01625792495906353,0.265108585357666,0.32338494062423706,2.7098069190979004,0.0,4.236985206604004,0.0,0.32320263981819153,2.7089016437530518,8.859136581420898,0.49514561891555786,3.806333065032959,0.49514561891555786,1.0
9,0.009736123494803905,0.11055906862020493,0.0004915551980957389,0.021844085305929184,1.0,0.1344839483499527,1.0,0.0004914453020319343,0.021803155541419983,4.999999873689376e-05,0.13787589967250824,1.0,0.00039103947347030044,1.0,1.0,0.01515897549688816,0.2573416233062744,0.3178299367427826,2.669001817703247,0.0,4.269909858703613,0.0,0.31770631670951843,2.6683595180511475,8.920225143432617,0.49514561891555786,3.848489999771118,0.49514561891555786,1.0
10,0.008822462521493435,0.1040305495262146,0.0004360353632364422,0.021804913878440857,1.0,0.13333825767040253,1.0,0.0004354543052613735,0.021750183776021004,4.999999873689376e-05,0.1368793249130249,1.0,0.00036018097307533026,1.0,1.0,0.01572529412806034,0.2603425979614258,0.3170700669288635,2.6688783168792725,0.0,4.195034503936768,0.0,0.3169277310371399,2.6680562496185303,8.899415016174316,0.49514561891555786,3.904402732849121,0.49514561891555786,1.0
